genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
gaming edm,0.672,0.759,8.0,-7.761,1.0,0.0266,0.0826,0.00225,0.19,0.217,110.005,4.0
chill house,0.75,0.825,8.0,-5.609,1.0,0.0286,0.00618,0.00048,0.122,0.119,114.969,4.0
pop,0.461,0.834,2.0,-4.868,1.0,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4.0
chillstep,0.715,0.218,0.0,-17.547,0.0,0.0396,0.709,0.925,0.082,0.0802,109.992,4.0
gauze pop,0.414,0.181,7.0,-15.892,0.0,0.0309,0.657,0.896,0.102,0.0389,137.046,4.0
easy listening,0.087,0.299,5.0,-13.295,1.0,0.0392,0.895,0.88,0.271,0.0364,68.83,5.0
easy listening,0.0641,0.23,3.0,-15.421,1.0,0.0361,0.772,0.97,0.105,0.0643,66.71,3.0
pop,0.574,0.852,2.0,-1.248,1.0,0.0397,0.0529,0.0,0.161,0.501,123.038,4.0
baroque,0.257,0.109,7.0,-21.356,1.0,0.0597,0.9,0.867,0.0762,0.307,75.02,4.0
alt z,0.693,0.481,1.0,-9.169,1.0,0.0534,0.0884,0.000102,0.144,0.112,119.933,4.0
desi pop,0.729,0.396,0.0,-8.98,1.0,0.0359,0.796,0.0,0.104,0.886,97.281,4.0
filmi,0.388,0.532,8.0,-6.352,1.0,0.0414,0.456,0.0,0.167,0.444,179.642,3.0
filmi,0.816,0.747,10.0,-6.86,0.0,0.206,0.064,1.07e-05,0.0806,0.842,82.019,4.0
classic bollywood,0.544,0.467,4.0,-7.403,1.0,0.032,0.911,3.01e-06,0.446,0.864,107.688,4.0
afghan pop,0.639,0.531,11.0,-14.632,0.0,0.0407,0.393,7.61e-06,0.285,0.672,97.074,4.0
dance pop,0.742,0.879,0.0,-4.274,0.0,0.0328,0.0696,7.17e-06,0.0981,0.936,133.946,4.0
desi hip hop,0.621,0.705,6.0,-5.604,0.0,0.222,0.195,4.19e-06,0.292,0.437,85.036,4.0
afghan pop,0.829,0.665,2.0,-8.128,1.0,0.0868,0.242,1.75e-05,0.123,0.861,122.043,4.0
hip hop,0.784,0.753,6.0,-4.099,0.0,0.213,0.438,0.0,0.167,0.532,116.959,4.0
pixel,0.597,0.595,9.0,-7.328,1.0,0.226,0.563,2.06e-06,0.291,0.592,169.81,4.0
art pop,0.633,0.682,1.0,-10.343,1.0,0.0295,0.00683,0.201,0.102,0.173,131.008,4.0
gen z singer-songwriter,0.624,0.115,6.0,-17.139,1.0,0.0446,0.941,3.47e-05,0.11,0.287,120.198,4.0
canadian electronic,0.641,0.773,1.0,-5.251,1.0,0.058,0.00487,0.804,0.1,0.186,128.031,4.0
ann arbor indie,0.698,0.604,11.0,-6.489,1.0,0.0494,0.518,0.0,0.07,0.832,118.692,4.0
pop,0.708,0.562,5.0,-4.864,1.0,0.0725,0.0449,0.0,0.216,0.386,125.963,4.0
alt z,0.584,0.261,11.0,-12.317,1.0,0.0486,0.72,1.1e-06,0.126,0.504,180.149,4.0
dance pop,0.594,0.64,10.0,-6.865,1.0,0.033,0.0169,0.0,0.135,0.492,92.871,4.0
dance pop,0.728,0.78,7.0,-6.923,0.0,0.09,0.0298,0.00758,0.126,0.233,121.991,4.0
bhojpuri pop,0.771,0.711,7.0,-11.795,1.0,0.0673,0.175,0.0,0.264,0.804,126.975,4.0
australian dance,0.592,0.788,6.0,-4.924,0.0,0.201,0.0599,2.54e-06,0.125,0.755,89.949,4.0
pop,0.749,0.535,4.0,-6.785,1.0,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,4.0
bossbeat,0.645,0.945,5.0,-3.516,0.0,0.0862,0.017,0.00122,0.318,0.718,120.029,4.0
filmi,0.771,0.659,7.0,-6.1,1.0,0.0674,0.216,0.0,0.102,0.587,92.008,4.0
reggae fusion,0.78,0.68,4.0,-6.081,1.0,0.0305,0.141,1.2e-05,0.138,0.594,118.026,4.0
filmi,0.574,0.911,11.0,-6.709,0.0,0.0888,0.262,0.0,0.366,0.756,135.494,4.0
cloud rap,0.371,0.729,2.0,-4.915,1.0,0.0371,0.303,0.000112,0.071,0.0795,111.933,4.0
alternative dance,0.655,0.782,7.0,-6.388,0.0,0.0355,0.0336,0.228,0.175,0.812,108.245,4.0
japanese chillhop,0.695,0.333,2.0,-13.224,1.0,0.0305,0.735,0.826,0.0893,0.452,77.006,4.0
modern alternative rock,0.617,0.574,6.0,-9.768,1.0,0.0276,0.23,0.0105,0.0983,0.396,91.769,4.0
nashville indie,0.572,0.759,10.0,-8.19,0.0,0.0583,0.0303,0.0,0.56,0.662,93.025,4.0
brostep,0.823,0.815,11.0,-3.947,1.0,0.134,0.00129,0.0494,0.599,0.474,125.989,4.0
classic bollywood,0.906,0.365,5.0,-13.7,1.0,0.0721,0.883,0.0,0.0554,0.961,126.073,4.0
australian dance,0.721,0.777,1.0,-3.303,1.0,0.0418,0.103,0.0,0.0482,0.467,155.011,3.0
lo-fi sleep,0.502,0.0687,0.0,-22.779,1.0,0.0317,0.949,0.92,0.0986,0.118,119.97,4.0
aesthetic rap,0.521,0.27,8.0,-17.214,1.0,0.34,0.142,0.0,0.334,0.345,103.144,1.0
dark r&b,0.371,0.821,11.0,-4.371,0.0,0.0944,0.0632,0.00429,0.136,0.261,90.405,4.0
lo-fi jazzhop,0.644,0.182,9.0,-19.706,0.0,0.0457,0.937,0.825,0.0864,0.162,81.959,4.0
modern alternative rock,0.205,0.739,6.0,-13.072,1.0,0.0546,0.961,0.937,0.339,0.0385,79.988,4.0
desi pop,0.412,0.494,6.0,-9.282,1.0,0.0536,0.706,0.0,0.0772,0.496,169.93,4.0
desi hip hop,0.834,0.738,8.0,-6.904,0.0,0.199,0.2,0.0,0.0797,0.656,89.99,4.0
filmi,0.793,0.887,7.0,-5.285,1.0,0.0954,0.0962,6.39e-05,0.623,0.602,100.007,4.0
modern rock,0.609,0.674,10.0,-7.388,0.0,0.0548,0.0735,0.06,0.345,0.315,90.009,4.0
hindi indie,0.512,0.695,4.0,-6.349,1.0,0.0271,0.0265,0.00815,0.146,0.351,145.957,4.0
alternative metal,0.417,0.934,7.0,-3.908,0.0,0.119,0.000278,0.0015,0.132,0.287,127.066,4.0
chutney,0.679,0.534,6.0,-9.398,0.0,0.0762,0.184,1.47e-06,0.318,0.79,158.809,3.0
filmi,0.507,0.585,9.0,-5.367,1.0,0.0288,0.475,0.0,0.317,0.449,132.741,4.0
bossbeat,0.63,0.747,2.0,-2.971,1.0,0.0483,0.149,4.77e-05,0.0931,0.867,81.984,4.0
chutney,0.559,0.318,9.0,-11.106,0.0,0.0317,0.857,1.88e-06,0.11,0.684,80.242,4.0
edm,0.637,0.985,6.0,-3.809,0.0,0.184,0.00988,0.00857,0.0649,0.374,145.111,4.0
pop rap,0.472,0.373,0.0,-10.781,0.0,0.029,0.748,0.00346,0.317,0.103,82.007,4.0
modern alternative pop,0.437,0.243,7.0,-10.577,1.0,0.0281,0.851,1.62e-06,0.112,0.142,144.164,4.0
singer-songwriter pop,0.895,0.283,3.0,-8.387,1.0,0.101,0.101,0.000157,0.1,0.134,94.023,4.0
hollywood,0.492,0.116,2.0,-15.15,0.0,0.0379,0.899,1.93e-06,0.0889,0.434,111.787,4.0
folktronica,0.435,0.196,3.0,-14.145,1.0,0.0297,0.801,0.194,0.36,0.491,144.73,4.0
house,0.788,0.824,11.0,-4.85,0.0,0.0761,0.00507,0.00752,0.183,0.7,111.988,4.0
pop,0.72,0.791,1.0,-4.689,1.0,0.124,0.0384,0.0,0.157,0.756,102.071,4.0
ambient folk,0.444,0.0629,7.0,-20.499,0.0,0.035,0.962,0.0069,0.097,0.225,141.325,3.0
chill pop,0.605,0.251,0.0,-15.06,1.0,0.0437,0.857,5.43e-05,0.113,0.379,139.585,4.0
folk-pop,0.536,0.775,8.0,-6.765,1.0,0.0394,0.228,0.000143,0.0947,0.485,151.393,4.0
chicago rap,0.66,0.539,9.0,-5.947,0.0,0.324,0.0534,0.0,0.222,0.307,109.318,5.0
chill phonk,0.784,0.572,0.0,-9.853,1.0,0.0573,0.0748,0.843,0.139,0.209,96.181,4.0
edm,0.844,0.818,2.0,-3.727,1.0,0.2,0.0743,1.28e-05,0.112,0.536,128.094,4.0
bedroom r&b,0.642,0.489,7.0,-6.534,1.0,0.0335,0.386,0.0,0.11,0.163,116.851,3.0
edm,0.572,0.904,0.0,-3.814,1.0,0.042,0.0167,0.00252,0.31,0.374,150.086,4.0
norwegian pop,0.583,0.785,2.0,-3.991,0.0,0.0337,0.0012,0.0127,0.124,0.355,91.977,4.0
melodic dubstep,0.501,0.505,10.0,-6.428,1.0,0.0284,0.098,0.0,0.112,0.227,149.916,4.0
gen z singer-songwriter,0.692,0.107,2.0,-16.182,1.0,0.0463,0.967,0.0,0.302,0.377,123.999,4.0
lo-fi chill,0.633,0.549,1.0,-7.226,1.0,0.219,0.673,0.0,0.0677,0.151,154.0,4.0
teen pop,0.391,0.175,6.0,-13.881,1.0,0.0353,0.922,2.47e-06,0.0896,0.259,78.805,3.0
lo-fi study,0.636,0.0581,5.0,-17.576,1.0,0.0402,0.869,0.925,0.125,0.329,72.096,4.0
lo-fi beats,0.593,0.162,10.0,-21.771,1.0,0.0391,0.94,0.849,0.0823,0.585,169.976,4.0
dance pop,0.616,0.869,0.0,-3.911,1.0,0.0327,0.0283,0.0,0.064,0.473,127.966,4.0
pop,0.701,0.875,11.0,-4.1,1.0,0.0757,0.0262,7.32e-06,0.137,0.84,111.976,4.0
antiviral pop,0.852,0.783,0.0,-4.241,1.0,0.361,0.45,0.0,0.134,0.886,142.066,4.0
lo-fi chill,0.527,0.308,6.0,-11.848,1.0,0.0359,0.699,0.0021,0.162,0.0397,69.88,4.0
modern indie folk,0.459,0.063,8.0,-14.446,1.0,0.0366,0.995,0.803,0.108,0.15,131.704,4.0
alt z,0.605,0.663,7.0,-5.396,1.0,0.168,0.671,0.0108,0.159,0.75,183.361,4.0
alt z,0.711,0.412,9.0,-6.827,1.0,0.0445,0.184,0.0,0.0546,0.186,130.013,4.0
glitchcore,0.714,0.523,4.0,-8.489,0.0,0.0545,0.0135,0.00167,0.117,0.367,102.484,4.0
cloud rap,0.515,0.273,8.0,-13.575,1.0,0.033,0.467,0.881,0.414,0.0371,113.076,4.0
brostep,0.436,0.938,2.0,-3.534,1.0,0.0917,0.000521,0.00907,0.344,0.131,149.993,4.0
brostep,0.42,0.641,7.0,-5.11,0.0,0.0474,0.0194,0.00012,0.166,0.141,75.229,4.0
la pop,0.732,0.34,0.0,-9.769,1.0,0.376,0.455,0.0,0.212,0.34,145.02,4.0
dance pop,0.608,0.798,6.0,-5.092,0.0,0.0432,0.0736,0.0,0.156,0.501,92.943,4.0
future bass,0.659,0.672,4.0,-7.56,0.0,0.0975,0.0535,3.37e-05,0.0941,0.289,110.04,4.0
otacore,0.705,0.579,9.0,-9.639,0.0,0.035,0.0961,7.59e-06,0.102,0.784,148.017,4.0
anime lo-fi,0.603,0.0573,0.0,-29.724,0.0,0.0549,0.995,0.941,0.111,0.471,63.017,3.0
alternative rock,0.656,0.871,11.0,-4.548,1.0,0.071,0.00106,0.0233,0.0828,0.683,119.997,4.0
chicago rap,0.625,0.814,0.0,-5.181,1.0,0.0657,0.0172,0.0,0.158,0.535,144.991,4.0
hollywood,0.702,0.77,7.0,-9.411,1.0,0.128,0.00558,0.000802,0.211,0.235,118.034,4.0
grunge,0.5,0.824,4.0,-5.846,0.0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4.0
pop,0.563,0.532,7.0,-7.726,1.0,0.0416,0.236,9.75e-06,0.122,0.429,145.001,4.0
alternative metal,0.361,0.929,10.0,-4.573,0.0,0.129,0.000965,0.184,0.131,0.0944,149.877,4.0
alt z,0.691,0.388,1.0,-12.401,0.0,0.0537,0.767,0.00337,0.0996,0.304,117.001,4.0
bedroom soul,0.876,0.565,11.0,-6.569,0.0,0.0333,0.16,0.0284,0.114,0.931,111.936,4.0
native american,0.731,0.804,11.0,-7.621,0.0,0.0473,0.172,0.00028,0.0685,0.957,107.383,4.0
show tunes,0.393,0.444,10.0,-5.745,1.0,0.0289,0.431,0.0,0.175,0.225,98.523,4.0
art pop,0.543,0.928,0.0,-5.206,1.0,0.0755,0.000329,0.567,0.0328,0.358,120.102,4.0
pop,0.605,0.554,9.0,-5.629,0.0,0.0948,0.761,0.0,0.0903,0.546,73.457,4.0
chanson,0.711,0.586,10.0,-9.78,0.0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,4.0
alabama rap,0.707,0.393,9.0,-8.373,1.0,0.0368,0.394,0.0,0.102,0.11,130.048,4.0
singer-songwriter pop,0.663,0.595,6.0,-6.774,1.0,0.0346,0.759,0.000404,0.109,0.547,124.022,4.0
modern alternative rock,0.7,0.82,5.0,-5.499,0.0,0.0329,0.238,0.318,0.658,0.667,109.998,4.0
belgian dance,0.678,0.819,8.0,-3.306,1.0,0.0313,0.191,0.0,0.159,0.499,90.004,4.0
sad rap,0.782,0.52,7.0,-9.338,0.0,0.171,0.174,0.0,0.0747,0.495,113.958,4.0
latin hip hop,0.737,0.86,8.0,-2.652,0.0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,4.0
alternative metal,0.451,0.987,9.0,-4.105,1.0,0.106,9.54e-06,0.102,0.0568,0.368,137.731,4.0
glitch hop,0.639,0.348,8.0,-8.708,1.0,0.0343,0.0425,0.736,0.387,0.174,145.022,4.0
k-pop,0.534,0.504,9.0,-4.02,1.0,0.102,0.354,0.0,0.0739,0.367,86.482,4.0
lo-fi sleep,0.5,0.13,2.0,-21.538,0.0,0.0463,0.934,0.879,0.334,0.0385,64.013,4.0
classical,0.368,0.00363,1.0,-36.759,1.0,0.035,0.993,0.922,0.137,0.085,69.363,3.0
alt z,0.58,0.658,1.0,-6.671,1.0,0.0389,0.219,0.0,0.0577,0.159,74.984,4.0
alternative r&b,0.556,0.714,9.0,-5.322,0.0,0.158,0.07,0.0,0.261,0.434,146.113,4.0
industrial pop,0.544,0.757,11.0,-7.392,1.0,0.0769,0.431,0.114,0.101,0.216,122.991,4.0
swedish pop,0.683,0.631,4.0,-9.351,0.0,0.104,0.297,0.0235,0.182,0.279,107.814,4.0
german pop,0.599,0.465,4.0,-4.95,1.0,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,4.0
electropop,0.719,0.671,8.0,-6.279,1.0,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,4.0
modern rock,0.636,0.718,1.0,-4.833,0.0,0.0313,0.00483,6.51e-06,0.292,0.437,143.929,4.0
alt z,0.432,0.444,6.0,-7.298,1.0,0.125,0.605,0.0,0.104,0.209,82.79,4.0
german soundtrack,0.18,0.226,9.0,-16.457,0.0,0.042,0.951,0.982,0.0998,0.048,94.079,4.0
singer-songwriter pop,0.75,0.493,0.0,-5.734,0.0,0.0624,0.238,0.0,0.0933,0.82,208.11,4.0
j-pop,0.473,0.896,6.0,-4.686,0.0,0.0714,0.000118,0.779,0.364,0.799,173.918,4.0
australian pop,0.573,0.462,3.0,-8.238,1.0,0.199,0.232,1.14e-06,0.126,0.45,172.076,4.0
anime score,0.345,0.849,6.0,-9.816,0.0,0.0735,0.00658,0.875,0.36,0.185,110.009,4.0
lo-fi brasileiro,0.473,0.2,10.0,-16.99,1.0,0.0306,0.824,0.898,0.101,0.0431,75.01,4.0
piano rock,0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.115,0.477,122.017,4.0
cleveland indie,0.6,0.39,10.0,-8.736,1.0,0.029,0.00146,0.00238,0.11,0.342,113.937,4.0
german soundtrack,0.427,0.262,0.0,-18.505,1.0,0.0429,0.244,0.879,0.227,0.0405,119.983,4.0
complextro,0.768,0.933,2.0,-2.95,0.0,0.0385,0.206,0.915,0.0833,0.245,124.996,4.0
lo-fi sleep,0.477,0.0629,0.0,-24.232,0.0,0.0382,0.872,0.903,0.132,0.0784,120.02,4.0
alabama indie,0.611,0.529,4.0,-10.299,1.0,0.0243,0.618,0.224,0.21,0.4,106.012,4.0
atl hip hop,0.736,0.74,0.0,-2.18,1.0,0.0786,0.515,0.0,0.0468,0.803,140.141,4.0
chill pop,0.696,0.678,6.0,-5.679,0.0,0.0391,0.441,0.0,0.069,0.517,146.998,4.0
edm,0.377,0.723,7.0,-2.951,1.0,0.046,0.181,0.0,0.0815,0.167,84.139,4.0
alt z,0.635,0.274,2.0,-13.53,1.0,0.033,0.813,0.0,0.162,0.316,93.025,4.0
slap house,0.797,0.514,10.0,-7.177,0.0,0.19,0.00493,4.47e-06,0.247,0.43,108.992,4.0
new french touch,0.769,0.596,7.0,-9.359,0.0,0.0524,0.0487,0.00803,0.204,0.259,105.032,4.0
super eurobeat,0.407,0.993,0.0,-6.603,1.0,0.0485,0.000162,0.61,0.358,0.789,153.059,4.0
album rock,0.454,0.913,9.0,-4.008,1.0,0.107,0.408,0.000271,0.248,0.521,137.688,4.0
lo-fi study,0.719,0.181,7.0,-14.264,0.0,0.0693,0.768,0.94,0.103,0.101,82.024,4.0
jazz cover,0.292,0.359,5.0,-9.043,1.0,0.0328,0.697,1.85e-05,0.108,0.228,177.334,3.0
wave,0.547,0.643,1.0,-7.63,1.0,0.0323,8.32e-05,0.917,0.0681,0.0399,125.983,4.0
dance pop,0.696,0.734,7.0,-5.294,1.0,0.0298,0.0485,0.0,0.183,0.711,107.987,4.0
r&b,0.765,0.614,10.0,-6.556,0.0,0.0888,0.0366,0.000269,0.0639,0.552,97.973,4.0
bedroom pop,0.522,0.765,0.0,-5.395,1.0,0.193,0.146,0.0,0.0866,0.455,180.065,4.0
chill r&b,0.636,0.288,1.0,-13.341,1.0,0.0583,0.888,0.184,0.109,0.289,140.07,4.0
modern alternative rock,0.581,0.656,4.0,-4.891,0.0,0.0294,0.00269,2.78e-06,0.101,0.338,108.033,4.0
alt z,0.516,0.323,2.0,-9.688,1.0,0.0716,0.489,4.82e-06,0.189,0.386,159.861,3.0
indie pop,0.626,0.652,5.0,-6.132,1.0,0.0351,0.501,2.68e-06,0.118,0.475,138.007,4.0
funk metal,0.504,0.918,0.0,-3.463,1.0,0.0517,0.00164,2.12e-05,0.78,0.539,92.031,4.0
new england americana,0.594,0.601,0.0,-8.532,1.0,0.0391,0.18,0.000539,0.106,0.524,155.583,4.0
alternative hip hop,0.655,0.689,5.0,-4.576,0.0,0.0413,0.223,0.524,0.245,0.35,78.974,4.0
art pop,0.726,0.738,6.0,-6.589,0.0,0.0602,0.102,2.17e-05,0.0882,0.414,115.904,4.0
lo-fi jazzhop,0.768,0.27,7.0,-17.331,1.0,0.0743,0.725,0.931,0.11,0.285,160.062,4.0
indie anthem-folk,0.615,0.281,11.0,-8.468,1.0,0.0273,0.874,0.537,0.108,0.233,131.979,3.0
british singer-songwriter,0.494,0.267,0.0,-11.54,1.0,0.0308,0.935,5.58e-05,0.128,0.166,115.117,3.0
modern rock,0.641,0.561,4.0,-5.856,1.0,0.0355,0.12,0.0021,0.358,0.678,111.938,4.0
indie viet,0.781,0.608,8.0,-8.452,1.0,0.0408,0.217,3.63e-05,0.158,0.609,101.017,4.0
drift phonk,0.916,0.702,0.0,-4.78,1.0,0.0362,0.00567,0.271,0.13,0.842,126.066,4.0
drift phonk,0.666,0.958,0.0,-3.602,1.0,0.0455,0.273,0.931,0.0993,0.909,121.993,4.0
aggressive phonk,0.613,0.975,1.0,-2.704,1.0,0.0871,0.00173,0.0294,0.101,0.424,124.071,4.0
pop,0.709,0.725,7.0,-5.545,0.0,0.0759,0.0772,0.0,0.158,0.226,139.968,4.0
drift phonk,0.7,0.975,4.0,-2.659,0.0,0.0356,0.00382,0.427,0.328,0.43,126.011,4.0
super eurobeat,0.558,0.991,5.0,-3.106,0.0,0.0604,0.0214,0.0,0.106,0.775,154.004,4.0
desi hip hop,0.863,0.387,5.0,-10.057,0.0,0.256,0.365,0.00238,0.06,0.39,100.013,4.0
drift phonk,0.88,0.712,7.0,-4.27,1.0,0.0795,0.145,0.936,0.162,0.615,131.983,4.0
bc underground hip hop,0.641,0.555,8.0,-8.287,0.0,0.184,0.0807,0.0,0.279,0.318,114.009,4.0
atl hip hop,0.663,0.861,7.0,-3.398,0.0,0.109,0.0338,0.0,0.082,0.654,119.963,4.0
cloud rap,0.754,0.632,9.0,-7.87,1.0,0.0329,0.283,0.0,0.106,0.563,134.959,4.0
anime score,0.573,0.879,2.0,-4.853,0.0,0.19,0.000176,0.00304,0.349,0.539,137.936,4.0
pop,0.767,0.696,2.0,-3.428,1.0,0.162,0.231,0.0,0.228,0.715,115.006,4.0
dark trap,0.765,0.955,9.0,-2.968,1.0,0.283,0.0952,0.000995,0.342,0.448,179.999,4.0
pop,0.594,0.462,1.0,-8.677,0.0,0.141,0.00841,0.0,0.13,0.164,78.805,4.0
modern alternative rock,0.588,0.521,10.0,-9.461,1.0,0.0329,0.0678,0.149,0.123,0.337,85.012,4.0
alt z,0.834,0.663,8.0,-6.143,1.0,0.133,0.235,0.0,0.372,0.774,121.876,4.0
virginia indie,0.722,0.65,0.0,-8.205,1.0,0.0455,0.14,0.000232,0.357,0.518,127.916,4.0
detroit hip hop,0.787,0.73,11.0,-6.788,0.0,0.35,0.0276,0.00157,0.0828,0.739,159.825,4.0
alt z,0.61,0.546,2.0,-7.822,1.0,0.0521,0.476,0.0,0.329,0.364,139.768,4.0
alt z,0.754,0.534,9.0,-8.424,0.0,0.123,0.0721,0.00615,0.218,0.809,149.146,4.0
lo-fi brasileiro,0.39,0.131,5.0,-19.976,0.0,0.0307,0.956,0.944,0.0908,0.0478,75.697,3.0
lo-fi chill,0.593,0.275,6.0,-15.25,0.0,0.0638,0.816,0.0115,0.108,0.363,114.82,4.0
dance pop,0.672,0.748,11.0,-5.922,0.0,0.0589,0.305,0.0,0.0811,0.964,163.984,4.0
chicago house,0.72,0.741,10.0,-6.529,0.0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,4.0
chicago house,0.751,0.727,10.0,-9.789,0.0,0.0304,0.0442,0.0338,0.1,0.28,119.982,4.0
pop,0.741,0.52,8.0,-7.513,1.0,0.0656,0.447,1.97e-06,0.222,0.347,102.998,4.0
alt z,0.629,0.328,11.0,-8.284,1.0,0.029,0.768,2.5e-05,0.103,0.389,74.953,4.0
newfoundland indie,0.316,0.237,1.0,-9.25,1.0,0.0353,0.854,8.3e-06,0.117,0.237,93.177,1.0
austin rock,0.47,0.757,10.0,-8.157,1.0,0.0367,0.0481,0.235,0.0809,0.268,139.089,4.0
anime lo-fi,0.682,0.141,2.0,-19.345,0.0,0.0616,0.801,0.886,0.112,0.109,93.099,4.0
alt z,0.609,0.692,1.0,-2.958,1.0,0.0259,0.0157,0.0,0.0864,0.454,116.959,3.0
alt z,0.573,0.715,8.0,-3.293,0.0,0.0256,0.0444,0.0,0.0898,0.258,101.699,3.0
canadian old school hip hop,0.949,0.79,8.0,-5.957,1.0,0.0756,0.00437,0.0,0.0816,0.807,117.002,4.0
alt z,0.43,0.626,9.0,-6.219,0.0,0.0491,0.0158,0.0,0.38,0.613,99.702,4.0
epicore,0.623,0.387,2.0,-10.983,0.0,0.0419,0.68,0.613,0.141,0.365,150.047,4.0
pop,0.696,0.517,2.0,-8.379,0.0,0.0366,0.364,0.0,0.197,0.23,112.291,3.0
art pop,0.593,0.658,8.0,-8.393,0.0,0.0364,0.0118,0.0204,0.137,0.422,135.053,4.0
latin hip hop,0.4,0.915,0.0,-4.89,1.0,0.28,0.0846,0.0,0.0503,0.878,88.917,3.0
filmi,0.837,0.839,11.0,-5.548,1.0,0.0468,0.0381,0.000193,0.301,0.679,107.025,4.0
filmi,0.694,0.959,7.0,-5.635,1.0,0.06,0.0408,0.0825,0.0763,0.77,124.995,4.0
filmi,0.509,0.617,7.0,-2.233,0.0,0.0249,0.304,7.8e-05,0.164,0.339,86.025,4.0
filmi,0.587,0.415,7.0,-7.086,0.0,0.027,0.67,1.61e-06,0.142,0.3,86.066,4.0
pop,0.647,0.585,6.0,-6.123,1.0,0.0512,0.00314,0.0,0.165,0.353,131.934,4.0
afrofuturism,0.603,0.784,6.0,-4.023,1.0,0.062,0.446,8.32e-06,0.119,0.769,172.041,4.0
uk pop,0.682,0.677,0.0,-7.797,1.0,0.046,0.0955,0.365,0.0557,0.548,114.959,4.0
british soul,0.555,0.404,9.0,-10.615,0.0,0.0249,0.684,0.000211,0.125,0.162,89.061,4.0
alt z,0.625,0.328,9.0,-10.603,0.0,0.0341,0.389,9.27e-05,0.109,0.0902,91.959,4.0
punjabi pop,0.541,0.676,8.0,-3.893,0.0,0.153,0.442,0.0,0.159,0.845,90.037,4.0
filmi,0.552,0.598,9.0,-6.052,0.0,0.0362,0.479,0.0,0.0806,0.354,135.951,4.0
j-pop,0.673,0.119,5.0,-20.274,1.0,0.0656,0.985,0.73,0.114,0.478,123.87,4.0
j-pop,0.679,0.13,5.0,-22.383,1.0,0.0852,0.993,0.729,0.106,0.41,123.43,4.0
icelandic indie,0.439,0.378,9.0,-11.776,1.0,0.033,0.689,0.208,0.168,0.0811,110.862,4.0
german soundtrack,0.31,0.0558,9.0,-19.072,0.0,0.0285,0.475,0.0447,0.127,0.106,79.924,4.0
canadian contemporary r&b,0.28,0.478,9.0,-8.755,0.0,0.037,0.674,5.85e-05,0.483,0.0807,111.65,4.0
hip hop,0.881,0.441,11.0,-6.278,0.0,0.0646,0.48,9.08e-06,0.119,0.804,138.014,4.0
german soundtrack,0.311,0.0173,9.0,-27.788,0.0,0.0348,0.927,0.964,0.0727,0.0658,95.985,3.0
german soundtrack,0.347,0.0213,9.0,-24.608,0.0,0.0356,0.97,0.926,0.0803,0.0385,96.101,3.0
german soundtrack,0.301,0.308,9.0,-18.163,0.0,0.0481,0.698,0.924,0.345,0.11,119.967,3.0
lo-fi study,0.359,0.0535,2.0,-19.794,1.0,0.0753,0.903,0.91,0.102,0.0664,179.982,3.0
lo-fi study,0.471,0.143,1.0,-17.247,1.0,0.039,0.623,0.869,0.0982,0.244,62.682,4.0
lo-fi study,0.74,0.333,11.0,-12.893,0.0,0.307,0.715,0.923,0.131,0.168,154.054,4.0
art pop,0.604,0.56,10.0,-8.617,1.0,0.0786,0.0398,0.000322,0.485,0.266,145.964,4.0
alt z,0.688,0.5,2.0,-7.411,1.0,0.138,0.102,0.0,0.355,0.418,127.906,3.0
atl hip hop,0.713,0.746,0.0,-4.99,1.0,0.259,0.0402,0.0,0.601,0.47,135.021,4.0
alt z,0.781,0.396,11.0,-8.427,1.0,0.0467,0.52,2.67e-05,0.134,0.749,105.016,4.0
aesthetic rap,0.719,0.651,7.0,-5.872,1.0,0.0274,0.127,0.0,0.0762,0.289,104.956,4.0
alt z,0.703,0.831,5.0,-5.651,0.0,0.0637,0.00189,0.118,0.207,0.29,132.001,4.0
shanty,0.902,0.43,11.0,-7.239,1.0,0.0567,0.899,0.0,0.0964,0.83,94.043,4.0
aggressive phonk,0.708,0.899,0.0,-4.249,1.0,0.181,0.00531,0.246,0.11,0.412,99.934,4.0
art pop,0.461,0.545,11.0,-8.166,1.0,0.046,0.0297,0.0471,0.0928,0.408,104.97,4.0
art pop,0.591,0.534,4.0,-7.929,1.0,0.0424,0.0207,0.0535,0.256,0.51,104.943,4.0
art pop,0.799,0.858,11.0,-5.977,1.0,0.0588,0.0422,0.783,0.0625,0.965,104.976,4.0
chillstep,0.646,0.11,9.0,-20.284,0.0,0.0354,0.928,0.852,0.0971,0.0687,140.005,4.0
indietronica,0.487,0.704,1.0,-5.825,1.0,0.0514,0.00126,0.0652,0.0686,0.0542,121.951,4.0
indie r&b,0.711,0.592,4.0,-7.136,0.0,0.23,0.758,0.0,0.156,0.535,124.749,4.0
