genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
singer-songwriter pop,0.637,0.885,5.0,-4.522,1.0,0.0274,0.0318,0.0,0.107,0.613,127.027,4.0
australian pop,0.613,0.739,10.0,-6.478,1.0,0.0311,0.526,0.0,0.149,0.712,104.966,4.0
danish pop,0.765,0.473,10.0,-5.829,1.0,0.0514,0.287,0.0,0.391,0.34,119.992,4.0
melodic rap,0.676,0.623,6.0,-7.297,0.0,0.0352,0.226,1.66e-05,0.159,0.347,111.466,4.0
alt z,0.618,0.47,0.0,-7.379,1.0,0.0271,0.0169,0.0,0.111,0.228,135.034,4.0
boy band,0.607,0.478,1.0,-5.702,0.0,0.031,0.649,0.0,0.0928,0.255,88.979,4.0
alt z,0.574,0.651,7.0,-7.585,1.0,0.046,0.346,0.0,0.149,0.368,140.017,4.0
solipsynthm,0.659,0.834,8.0,-5.715,1.0,0.0387,0.232,0.55,0.236,0.607,116.048,4.0
pop,0.707,0.707,11.0,-6.161,0.0,0.0375,0.0306,0.0,0.127,0.231,104.039,4.0
alt z,0.765,0.53,10.0,-7.18,0.0,0.0833,0.509,4.15e-06,0.117,0.529,130.104,4.0
alt z,0.661,0.552,8.0,-8.015,0.0,0.0278,0.242,0.0,0.0953,0.408,110.072,4.0
pop,0.615,0.774,4.0,-5.152,0.0,0.0551,0.0173,0.0,0.15,0.336,136.887,4.0
ambient guitar,0.496,0.255,9.0,-17.984,1.0,0.0283,0.937,0.845,0.0909,0.0809,141.961,4.0
art pop,0.541,0.556,11.0,-6.15,0.0,0.0356,0.465,0.0,0.116,0.106,105.886,4.0
edm,0.784,0.757,8.0,-3.912,1.0,0.0384,0.495,1.18e-06,0.142,0.587,104.996,4.0
bass house,0.714,0.883,9.0,-4.43,1.0,0.0625,0.00819,0.843,0.231,0.819,126.016,4.0
orchestral soundtrack,0.0828,0.012,9.0,-36.045,0.0,0.0451,0.9,0.812,0.0875,0.0578,169.895,3.0
alt z,0.598,0.295,1.0,-8.553,1.0,0.0276,0.735,0.0,0.107,0.314,87.025,4.0
alt z,0.792,0.484,4.0,-9.897,1.0,0.192,0.477,0.0,0.106,0.245,96.939,4.0
alternative metal,0.486,0.881,2.0,-5.623,0.0,0.0474,0.0244,0.0,0.429,0.667,144.997,4.0
show tunes,0.265,0.312,7.0,-11.689,1.0,0.0569,0.243,0.0,0.0893,0.0998,54.747,3.0
show tunes,0.253,0.139,6.0,-17.067,1.0,0.0414,0.726,5.01e-05,0.269,0.102,74.369,3.0
chillwave,0.515,0.663,7.0,-7.896,0.0,0.0328,0.179,0.668,0.494,0.0756,120.024,4.0
lo-fi study,0.695,0.287,0.0,-14.608,1.0,0.0499,0.771,0.904,0.362,0.379,128.028,4.0
post-teen pop,0.798,0.904,0.0,-3.316,0.0,0.0476,0.0747,6.62e-06,0.0522,0.966,135.008,4.0
post-teen pop,0.798,0.904,0.0,-3.316,0.0,0.0476,0.0747,6.62e-06,0.0522,0.966,135.008,4.0
german soundtrack,0.171,0.0325,4.0,-25.382,0.0,0.043,0.97,0.87,0.0756,0.0284,70.821,3.0
hollywood,0.44,0.676,6.0,-7.57,1.0,0.0582,0.152,0.0201,0.108,0.429,125.013,4.0
gen z singer-songwriter,0.571,0.0274,9.0,-20.274,0.0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,3.0
instrumental post-rock,0.458,0.361,6.0,-12.066,0.0,0.0353,0.825,0.913,0.103,0.231,86.966,4.0
pop,0.808,0.519,5.0,-8.268,0.0,0.0403,0.00623,0.136,0.119,0.384,114.977,4.0
baroque pop,0.551,0.819,2.0,-4.489,1.0,0.0525,0.0103,0.0437,0.153,0.846,174.917,4.0
bass house,0.784,0.913,1.0,-1.208,1.0,0.177,0.0114,0.00162,0.0831,0.59,126.054,4.0
pop,0.545,0.641,10.0,-6.398,0.0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,4.0
r&b,0.617,0.378,9.0,-8.54,1.0,0.0315,0.428,9.16e-05,0.11,0.22,141.967,4.0
singer-songwriter pop,0.609,0.428,11.0,-7.796,1.0,0.0244,0.538,0.0,0.064,0.627,96.071,4.0
bedroom pop,0.719,0.461,8.0,-8.191,1.0,0.0454,0.279,0.0,0.0875,0.548,123.915,4.0
dark r&b,0.708,0.42,9.0,-9.478,0.0,0.121,0.471,0.0,0.353,0.317,145.981,4.0
chill r&b,0.536,0.659,6.0,-9.732,1.0,0.0483,0.406,0.004,0.107,0.199,170.035,4.0
canadian contemporary r&b,0.514,0.749,8.0,-4.336,1.0,0.403,0.234,7.98e-05,0.19,0.416,179.623,3.0
aggressive phonk,0.627,0.993,1.0,-1.304,1.0,0.0714,0.00142,0.254,0.239,0.58,109.975,4.0
aggressive phonk,0.656,0.964,6.0,-2.087,0.0,0.0964,0.123,0.813,0.78,0.965,114.007,4.0
aggressive phonk,0.706,0.933,10.0,-0.096,1.0,0.0721,0.11,0.878,0.058,0.761,114.042,4.0
hindi indie,0.464,0.391,6.0,-9.884,1.0,0.0384,0.755,9.64e-05,0.105,0.418,106.887,4.0
himachali pop,0.613,0.551,9.0,-8.613,1.0,0.198,0.113,0.0,0.266,0.482,110.243,5.0
odia bhajan,0.328,0.571,1.0,-6.913,1.0,0.0395,0.654,1.15e-05,0.27,0.654,186.602,1.0
desi pop,0.581,0.304,1.0,-9.707,0.0,0.0274,0.886,2.79e-05,0.103,0.0973,109.006,4.0
desi pop,0.307,0.265,1.0,-14.701,0.0,0.0497,0.561,0.000517,0.398,0.0569,94.115,1.0
desi hip hop,0.639,0.594,10.0,-6.497,1.0,0.0347,0.131,0.0,0.119,0.378,80.034,4.0
classic bollywood,0.556,0.792,9.0,-10.683,1.0,0.0715,0.858,0.007,0.596,0.776,98.554,4.0
afghan pop,0.792,0.635,7.0,-13.94,0.0,0.0863,0.349,5.92e-06,0.324,0.648,122.004,4.0
filmi,0.69,0.78,8.0,-7.412,0.0,0.0489,0.117,0.0,0.0696,0.718,110.963,4.0
filmi,0.549,0.437,10.0,-7.169,0.0,0.0263,0.766,0.000407,0.133,0.236,93.976,4.0
filmi,0.561,0.709,9.0,-10.247,1.0,0.0484,0.232,0.0,0.0992,0.509,115.006,4.0
filmi,0.417,0.134,9.0,-12.096,1.0,0.0321,0.979,9.61e-05,0.101,0.381,83.176,4.0
filmi,0.616,0.757,8.0,-5.877,0.0,0.0337,0.393,0.00267,0.165,0.538,96.976,4.0
filmi,0.558,0.746,7.0,-6.338,0.0,0.0389,0.0852,0.000302,0.258,0.342,120.096,4.0
filmi,0.68,0.524,5.0,-12.536,1.0,0.0306,0.161,0.0015,0.101,0.577,100.054,4.0
filmi,0.566,0.634,2.0,-5.551,1.0,0.0443,0.145,0.000716,0.0814,0.36,143.89,4.0
filmi,0.334,0.387,2.0,-9.483,1.0,0.0332,0.755,3.94e-05,0.113,0.42,129.959,1.0
chutney,0.569,0.31,3.0,-13.287,1.0,0.0371,0.79,0.0,0.341,0.587,97.244,3.0
metropopolis,0.636,0.758,0.0,-5.567,1.0,0.0427,0.331,1.01e-05,0.16,0.281,97.025,4.0
emo rap,0.727,0.486,8.0,-8.364,1.0,0.0325,0.568,0.0,0.0889,0.362,118.038,4.0
cloud rap,0.577,0.553,4.0,-7.648,0.0,0.0479,0.1,0.0,0.21,0.0546,145.974,4.0
filmi,0.611,0.512,11.0,-12.533,0.0,0.0361,0.3,0.000851,0.219,0.263,99.987,1.0
shanty,0.516,0.482,7.0,-6.04,1.0,0.0421,0.579,0.0,0.307,0.368,170.178,4.0
pop,0.651,0.688,6.0,-4.407,1.0,0.109,0.354,2.57e-06,0.0741,0.616,95.017,4.0
lo-fi study,0.587,0.0548,6.0,-22.15,0.0,0.0345,0.616,0.827,0.0999,0.233,109.905,4.0
alt z,0.607,0.849,8.0,-6.389,1.0,0.0444,0.174,2.03e-05,0.0964,0.487,89.988,4.0
chill pop,0.827,0.49,10.0,-8.37,0.0,0.055,0.321,0.000137,0.095,0.836,113.002,4.0
filmi,0.84,0.884,0.0,-3.217,1.0,0.334,0.427,0.0,0.0885,0.972,118.007,4.0
modern alternative rock,0.464,0.701,6.0,-5.693,0.0,0.0411,0.00892,0.309,0.335,0.356,83.996,4.0
german soundtrack,0.245,0.00336,9.0,-38.793,0.0,0.0451,0.92,0.0234,0.119,0.0505,119.949,3.0
album rock,0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4.0
glam rock,0.501,0.556,5.0,-5.628,1.0,0.0266,0.361,0.000133,0.115,0.165,82.017,4.0
brostep,0.418,0.965,10.0,-2.417,0.0,0.163,0.0477,3.88e-06,0.561,0.28,139.759,4.0
anime,0.653,0.783,10.0,-3.859,1.0,0.0298,0.00949,0.0,0.0791,0.636,119.992,4.0
disco,0.424,0.443,6.0,-13.45,1.0,0.0382,0.532,0.000389,0.673,0.391,131.675,4.0
pop,0.641,0.324,11.0,-5.851,1.0,0.0299,0.698,0.0,0.328,0.273,110.184,4.0
channel pop,0.659,0.273,11.0,-6.352,1.0,0.0285,0.823,0.0,0.121,0.292,110.171,4.0
