,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2608,edm,0.744,0.997,2.0,-1.325,1.0,0.13,0.0304,0.00256,0.0737,0.558,127.975
2610,art pop,0.324,0.495,6.0,-10.625,1.0,0.0398,0.0171,0.487,0.143,0.0584,177.742
2614,lo-fi study,0.642,0.149,6.0,-13.639,0.0,0.0405,0.879,0.903,0.103,0.0855,74.942
2615,art pop,0.822,0.739,1.0,-4.541,0.0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992
2616,alt z,0.747,0.482,0.0,-5.614,1.0,0.033,0.618,0.0,0.128,0.536,91.991
2624,dance pop,0.635,0.841,5.0,-5.379,1.0,0.0422,0.0134,0.0,0.0622,0.424,109.021
2625,alt z,0.598,0.555,0.0,-7.407,1.0,0.0295,0.508,0.0277,0.304,0.353,152.101
2626,drift phonk,0.831,0.872,10.0,-4.666,0.0,0.0598,0.00275,0.913,0.133,0.41,93.996
2630,filmi,0.365,0.407,5.0,-10.352,1.0,0.0424,0.752,0.00129,0.212,0.464,149.161
2631,filmi,0.791,0.558,7.0,-7.155,0.0,0.0661,0.276,0.0,0.0859,0.872,95.077
2632,filmi,0.611,0.612,2.0,-7.978,1.0,0.114,0.441,0.0,0.18,0.898,171.841
2633,filmi,0.61,0.492,10.0,-7.55,1.0,0.0261,0.334,6.3e-06,0.0979,0.165,90.984
2634,anime,0.584,0.911,5.0,-3.515,0.0,0.09,0.0119,0.0,0.119,0.606,92.502
2637,filmi,0.613,0.108,9.0,-15.73,0.0,0.0289,0.573,0.0,0.0565,0.779,85.941
2638,filmi,0.532,0.529,0.0,-8.402,1.0,0.0352,0.334,0.000144,0.078,0.295,81.989
2639,filmi,0.562,0.368,1.0,-9.198,1.0,0.027,0.973,0.000164,0.105,0.25,107.914
2649,filmi,0.832,0.658,9.0,-6.333,0.0,0.0303,0.101,0.00121,0.284,0.666,120.044
2654,filmi,0.478,0.767,6.0,-9.569,1.0,0.136,0.0158,1.96e-05,0.352,0.227,104.977
2661,filmi,0.531,0.431,2.0,-8.937,0.0,0.037,0.868,2.47e-05,0.127,0.19,107.99
2665,alt z,0.762,0.585,8.0,-8.819,1.0,0.102,0.478,0.0,0.113,0.303,140.005
2667,alt z,0.689,0.143,6.0,-17.374,1.0,0.264,0.97,0.0,0.109,0.528,85.398
2675,drift phonk,0.838,0.59,7.0,-4.305,1.0,0.233,0.439,0.874,0.105,0.495,150.02
2679,filmi,0.684,0.721,5.0,-7.116,1.0,0.0924,0.36,0.0,0.168,0.568,128.059
2680,filmi,0.382,0.632,8.0,-6.393,1.0,0.0411,0.391,0.000486,0.0922,0.716,78.936
2681,filmi,0.818,0.829,8.0,-7.145,0.0,0.0978,0.303,8.53e-05,0.277,0.967,108.999
2684,pop,0.802,0.547,8.0,-7.034,1.0,0.0518,0.205,0.0,0.109,0.922,109.966
2685,art pop,0.472,0.526,1.0,-10.987,1.0,0.0306,0.524,0.0056,0.0856,0.258,138.933
2686,alt z,0.684,0.729,1.0,-3.8,1.0,0.0407,0.0231,0.000628,0.124,0.49,159.975
2687,brostep,0.788,0.874,0.0,-3.336,1.0,0.0805,0.00219,0.00231,0.0998,0.629,126.988
2688,brostep,0.594,0.947,0.0,-3.904,1.0,0.0519,0.00133,0.108,0.305,0.362,140.043
2690,modern alternative rock,0.547,0.639,2.0,-6.958,1.0,0.117,0.0137,0.0,0.305,0.399,90.098
2694,alternative metal,0.466,0.833,7.0,-4.215,1.0,0.304,0.0266,0.0,0.0327,0.661,88.785
2699,pop,0.661,0.779,1.0,-3.995,0.0,0.0678,0.00604,0.0,0.218,0.67,129.911
2702,filmi,0.622,0.939,7.0,-9.091,0.0,0.0587,0.602,0.0181,0.158,0.961,170.058
2703,chill pop,0.672,0.494,2.0,-10.142,1.0,0.0443,0.48,1.01e-06,0.209,0.7,139.984
2705,dance pop,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97
2706,alt z,0.528,0.343,0.0,-7.62,1.0,0.036,0.777,0.0,0.162,0.342,64.879
2707,pop,0.375,0.93,2.0,-2.631,1.0,0.0561,0.00064,0.0,0.318,0.491,147.124
2712,pop,0.79,0.694,9.0,-7.726,0.0,0.0708,0.145,0.00252,0.281,0.508,103.007
2714,filmi,0.663,0.762,5.0,-4.095,1.0,0.0326,0.17,1.06e-05,0.107,0.553,140.022
2719,anime,0.718,0.831,3.0,-3.213,1.0,0.0758,0.116,0.0,0.305,0.761,142.942
2721,anime lo-fi,0.617,0.0806,2.0,-24.894,1.0,0.0348,0.936,0.946,0.121,0.289,98.165
2723,anime lo-fi,0.689,0.0258,2.0,-28.516,1.0,0.0599,0.989,0.971,0.111,0.511,62.589
2724,anime lo-fi,0.715,0.209,2.0,-18.411,1.0,0.0385,0.975,0.689,0.184,0.597,115.011
2725,anime lo-fi,0.755,0.295,2.0,-23.411,1.0,0.077,0.931,0.881,0.101,0.349,110.027
2726,anime lo-fi,0.693,0.0141,2.0,-28.587,1.0,0.074,0.993,0.965,0.104,0.578,62.636
2728,alternative metal,0.415,0.528,4.0,-7.564,1.0,0.0293,0.088,0.00595,0.0746,0.0479,105.217
2733,filmi,0.362,0.378,1.0,-11.008,1.0,0.0329,0.679,0.0,0.091,0.575,87.549
2736,filmi,0.594,0.548,9.0,-7.588,0.0,0.0267,0.611,0.00146,0.117,0.374,98.014
2738,filmi,0.644,0.818,6.0,-5.924,0.0,0.0549,0.431,2.62e-05,0.0806,0.789,118.477
2740,brostep,0.605,0.92,4.0,-2.298,0.0,0.0713,0.0012,0.000596,0.483,0.219,174.974
2742,alternative metal,0.672,0.974,10.0,-5.604,0.0,0.113,0.0436,0.654,0.828,0.296,102.129
2746,drift phonk,0.699,0.825,1.0,-6.155,1.0,0.0523,0.0892,0.931,0.0928,0.361,169.994
2748,pop,0.475,0.39,0.0,-11.344,0.0,0.063,0.0654,0.00045,0.16,0.0713,143.88
2749,alternative metal,0.546,0.98,9.0,-3.02,0.0,0.0619,0.0154,0.0,0.31,0.478,120.037
2751,alt z,0.554,0.862,3.0,-4.672,1.0,0.0361,0.000924,0.000142,0.422,0.557,139.937
2752,alt z,0.321,0.705,7.0,-5.41,1.0,0.0938,0.169,0.0,0.0514,0.302,62.014
2759,alt z,0.689,0.679,7.0,-5.893,1.0,0.0517,0.195,0.00111,0.224,0.475,149.972
2766,art pop,0.821,0.578,1.0,-6.566,1.0,0.0487,0.384,5.92e-05,0.139,0.517,107.02
2770,filmi,0.63,0.837,9.0,-4.635,0.0,0.0387,0.329,0.00271,0.159,0.473,107.997
2781,lo-fi study,0.374,0.194,10.0,-19.673,0.0,0.063,0.964,0.912,0.106,0.15,106.027
2786,pop,0.714,0.728,10.0,-4.595,1.0,0.0468,0.298,0.0,0.106,0.901,114.996
2788,filmi,0.841,0.74,9.0,-8.432,1.0,0.13,0.05,2.22e-06,0.128,0.626,109.033
2789,anime lo-fi,0.805,0.313,9.0,-11.078,0.0,0.0775,0.307,0.913,0.191,0.234,79.033
2790,lo-fi study,0.594,0.0535,0.0,-18.914,0.0,0.0925,0.65,0.935,0.128,0.0916,61.996
2795,lo-fi study,0.786,0.177,1.0,-23.921,0.0,0.0897,0.807,0.861,0.128,0.569,139.979
2796,dance pop,0.723,0.809,7.0,-3.081,0.0,0.0625,0.00346,0.00123,0.565,0.274,98.007
2797,brostep,0.721,0.738,7.0,-4.77,1.0,0.0403,0.00226,4.41e-06,0.118,0.637,119.976
2800,alternative metal,0.509,0.629,0.0,-6.434,1.0,0.0335,0.209,1.99e-06,0.369,0.237,80.012
2801,drift phonk,0.719,0.699,8.0,-5.341,0.0,0.031,0.00116,0.859,0.121,0.14,120.951
2805,pop,0.881,0.592,2.0,-4.898,1.0,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
2806,pop,0.881,0.592,2.0,-4.898,1.0,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
2807,pop,0.736,0.809,2.0,-4.487,1.0,0.0323,0.15,0.00151,0.0886,0.744,122.023
2817,pop,0.505,0.624,7.0,-6.513,1.0,0.0371,0.0235,0.0,0.5,0.215,139.849
2818,alt z,0.655,0.569,1.0,-5.018,0.0,0.0349,0.716,7.4e-06,0.135,0.44,150.267
2822,edm,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988
2823,edm,0.584,0.955,7.0,-4.197,0.0,0.0507,0.101,0.00243,0.092,0.486,128.04
2826,alt z,0.737,0.408,5.0,-7.941,1.0,0.104,0.802,0.0,0.171,0.374,127.918
2829,dance pop,0.651,0.486,5.0,-4.437,1.0,0.0456,0.456,0.0,0.1,0.307,78.14
2833,edm,0.615,0.91,5.0,-2.825,0.0,0.0762,0.00761,0.00636,0.16,0.346,139.997
2835,dance pop,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977
2836,dance pop,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977
2839,alt z,0.718,0.483,8.0,-6.596,1.0,0.0381,0.387,0.000208,0.124,0.29,103.997
2845,dance pop,0.747,0.877,9.0,-3.782,0.0,0.0664,0.0375,0.000833,0.233,0.752,107.991
2847,dance pop,0.747,0.877,9.0,-3.782,0.0,0.0664,0.0375,0.000833,0.233,0.752,107.991
2848,pop,0.689,0.627,6.0,-5.692,1.0,0.308,0.105,0.000321,0.0905,0.905,184.008
2849,pop,0.7,0.832,1.0,-4.969,1.0,0.0539,0.000421,0.464,0.278,0.533,129.983
2857,alt z,0.633,0.242,3.0,-8.523,0.0,0.0761,0.515,0.0,0.0839,0.694,98.219
2858,dance pop,0.879,0.498,4.0,-6.027,0.0,0.18,0.239,0.0,0.0967,0.405,106.044
2862,alt z,0.645,0.486,0.0,-7.299,1.0,0.0425,0.274,0.0,0.135,0.453,72.536
2868,art pop,0.521,0.304,5.0,-11.338,1.0,0.0284,0.573,0.00971,0.137,0.0898,109.903
2870,pop,0.5,0.292,0.0,-8.554,1.0,0.0323,0.746,0.0,0.188,0.37,145.879
2873,edm,0.553,0.636,6.0,-4.38,1.0,0.152,0.189,0.0,0.0779,0.53,81.969
2874,drift phonk,0.822,0.981,9.0,-1.321,1.0,0.109,0.000593,0.748,0.0938,0.404,115.005
2875,pop,0.69,0.676,7.0,-6.111,1.0,0.0335,0.213,0.0,0.123,0.664,100.023
2876,alt z,0.625,0.54,11.0,-9.059,1.0,0.0271,0.113,0.162,0.107,0.492,165.909
2878,modern alternative rock,0.584,0.779,3.0,-5.656,0.0,0.0721,0.259,0.00606,0.28,0.518,94.841
2884,chill pop,0.684,0.512,11.0,-8.715,1.0,0.0525,0.544,0.0,0.097,0.466,119.901
2886,anime lo-fi,0.577,0.00355,4.0,-28.115,0.0,0.0511,0.985,0.96,0.108,0.188,65.395
2887,anime lo-fi,0.522,0.00281,4.0,-29.063,0.0,0.106,0.994,0.968,0.106,0.371,128.915
2890,chill pop,0.735,0.37,5.0,-12.581,0.0,0.0705,0.389,0.00163,0.106,0.305,112.015
2892,alternative metal,0.47,0.796,8.0,-3.277,0.0,0.0336,0.362,1.1e-06,0.133,0.215,113.108
2893,pop,0.586,0.503,2.0,-7.002,1.0,0.0268,0.0403,0.0,0.0994,0.385,95.013
2894,lo-fi study,0.702,0.0313,9.0,-23.032,1.0,0.0407,0.942,0.92,0.1,0.238,116.02
2897,edm,0.655,0.666,5.0,-5.309,1.0,0.0612,0.134,2.12e-05,0.0683,0.272,102.977
2910,pop,0.488,0.343,4.0,-8.985,1.0,0.0436,0.556,0.0,0.21,0.0978,102.819
2916,singer-songwriter pop,0.485,0.484,4.0,-14.012,1.0,0.0307,0.628,0.000566,0.112,0.332,90.071
2921,pop,0.766,0.706,7.0,-6.553,0.0,0.16,0.223,0.00028,0.064,0.766,142.989
2922,alt z,0.71,0.258,3.0,-10.632,1.0,0.034,0.84,0.000323,0.0998,0.337,112.922
2923,alt z,0.71,0.0565,7.0,-15.099,1.0,0.0534,0.965,0.0,0.0889,0.348,123.994
2927,lo-fi study,0.697,0.0996,3.0,-22.002,1.0,0.178,0.969,0.389,0.373,0.149,171.903
2928,modern alternative rock,0.568,0.891,0.0,-5.786,1.0,0.0376,0.000896,0.000137,0.357,0.522,104.954
2930,pop,0.724,0.603,10.0,-7.968,1.0,0.0764,0.261,0.0,0.185,0.486,105.0
2932,chill pop,0.632,0.454,7.0,-6.996,1.0,0.0505,0.51,2.68e-06,0.179,0.493,90.024
2933,chill pop,0.584,0.799,7.0,-5.662,1.0,0.0638,0.115,0.0,0.0811,0.428,100.083
2934,chill pop,0.513,0.511,10.0,-9.22,1.0,0.034,0.333,8.54e-06,0.122,0.337,84.974
2938,brostep,0.246,0.539,7.0,-6.327,1.0,0.0408,0.0104,0.000132,0.094,0.194,153.597
2941,pop,0.679,0.481,3.0,-9.045,1.0,0.0593,0.208,1.02e-05,0.284,0.486,80.011
2942,dance pop,0.495,0.894,2.0,-4.814,0.0,0.0441,0.00453,0.000596,0.103,0.213,126.03
2943,singer-songwriter pop,0.713,0.764,6.0,-5.57,0.0,0.0294,0.0718,0.0,0.0708,0.962,125.052
2946,dance pop,0.738,0.85,8.0,-3.049,1.0,0.0642,0.105,0.0,0.23,0.865,98.013
2950,pop,0.511,0.467,7.0,-7.799,1.0,0.144,0.263,0.0,0.0641,0.373,78.173
2955,pop,0.858,0.678,1.0,-3.87,0.0,0.0469,0.0761,0.0,0.0741,0.922,117.009
2957,alt z,0.609,0.141,9.0,-15.33,1.0,0.0394,0.927,0.000104,0.0923,0.107,78.233
2959,filmi,0.827,0.587,9.0,-5.531,0.0,0.113,0.203,0.0,0.0727,0.774,119.936
2968,dance pop,0.918,0.609,10.0,-5.64,0.0,0.0791,0.0928,0.0,0.139,0.304,128.008
2979,alt z,0.716,0.703,9.0,-4.997,0.0,0.0764,0.218,2.81e-06,0.0926,0.846,124.099
2980,filmi,0.684,0.958,1.0,-4.793,1.0,0.264,0.314,1.94e-06,0.618,0.817,163.95
2981,chill pop,0.548,0.492,6.0,-7.813,1.0,0.0721,0.512,0.000468,0.108,0.589,78.786
2982,pop,0.823,0.455,11.0,-7.839,0.0,0.0466,0.00175,1.24e-06,0.0559,0.723,126.96
2984,pop,0.653,0.866,10.0,-4.898,1.0,0.0552,0.0797,1.11e-06,0.17,0.644,121.972
2989,alt z,0.41,0.611,4.0,-8.271,0.0,0.0467,0.0228,0.0,0.116,0.0899,185.727
2990,drift phonk,0.633,0.433,1.0,-8.833,1.0,0.229,0.0053,0.28,0.145,0.373,122.088
2995,drift phonk,0.672,0.996,11.0,-1.448,1.0,0.0545,0.0846,0.928,0.111,0.697,174.965
3001,filmi,0.815,0.833,7.0,-6.117,0.0,0.0769,0.0297,2e-05,0.33,0.563,99.989
3002,filmi,0.537,0.367,8.0,-9.362,1.0,0.0241,0.815,0.0,0.132,0.348,90.953
3004,alt z,0.738,0.621,0.0,-7.313,1.0,0.0486,0.424,7.39e-06,0.692,0.715,113.968
3011,filmi,0.533,0.436,5.0,-7.521,0.0,0.0276,0.234,3.17e-06,0.46,0.371,146.868
3012,filmi,0.48,0.681,5.0,-8.002,1.0,0.163,0.284,0.0,0.125,0.74,88.003
3018,filmi,0.6,0.5,0.0,-9.115,1.0,0.0252,0.384,3.81e-05,0.0907,0.258,110.006
3021,brostep,0.556,0.881,7.0,-2.224,1.0,0.082,0.00119,0.0,0.0709,0.337,104.973
3025,filmi,0.692,0.954,2.0,-3.93,0.0,0.0915,0.0188,0.0,0.151,0.89,141.98
3026,alt z,0.61,0.489,10.0,-8.541,0.0,0.127,0.308,0.0,0.165,0.331,105.016
3031,filmi,0.688,0.616,1.0,-7.602,0.0,0.0274,0.38,1.18e-06,0.364,0.68,106.995
3034,pop,0.738,0.794,11.0,-4.118,0.0,0.0416,0.101,0.0,0.0533,0.566,104.014
3035,pop,0.737,0.714,1.0,-6.138,0.0,0.0367,0.225,3.79e-06,0.267,0.608,102.046
3036,pop,0.787,0.796,11.0,-3.551,0.0,0.0429,0.0286,0.0,0.0909,0.634,126.032
3037,alternative metal,0.355,0.791,8.0,-7.565,1.0,0.0453,0.00045,0.0,0.0969,0.758,106.392
3038,anime lo-fi,0.456,0.469,2.0,-7.838,0.0,0.0339,0.143,0.936,0.212,0.106,120.045
3039,anime lo-fi,0.58,0.00283,2.0,-28.277,0.0,0.054,0.994,0.963,0.103,0.262,66.586
3046,pop,0.742,0.713,1.0,-5.522,0.0,0.0303,0.0205,0.0,0.059,0.879,120.032
3056,pop,0.795,0.616,1.0,-5.281,0.0,0.06,0.417,0.0,0.349,0.815,110.015
3059,drift phonk,0.717,0.982,8.0,0.655,1.0,0.176,0.0268,0.274,0.327,0.801,120.021
3060,filmi,0.659,0.774,7.0,-7.014,1.0,0.0372,0.606,0.000333,0.185,0.883,82.995
3061,filmi,0.467,0.859,0.0,-2.946,0.0,0.0409,0.661,0.0,0.0522,0.673,89.842
3062,alt z,0.777,0.716,10.0,-7.342,0.0,0.256,0.734,8.3e-05,0.116,0.829,120.052
3064,filmi,0.548,0.737,0.0,-7.865,1.0,0.0386,0.458,0.00806,0.091,0.412,119.961
3065,singer-songwriter pop,0.612,0.488,0.0,-9.993,1.0,0.244,0.0753,0.00197,0.122,0.496,96.029
3069,singer-songwriter pop,0.652,0.526,5.0,-11.804,0.0,0.0765,0.548,0.0,0.141,0.411,75.965
3071,pop,0.545,0.783,5.0,-4.261,0.0,0.0345,0.00489,0.0,0.132,0.551,174.084
3076,pop,0.747,0.45,7.0,-8.543,1.0,0.0919,0.0407,0.0,0.17,0.329,96.001
3077,alt z,0.5,0.156,1.0,-11.472,1.0,0.0469,0.87,0.0,0.125,0.405,173.794
3078,dance pop,0.643,0.783,10.0,-6.458,1.0,0.0856,0.047,0.0,0.083,0.579,154.084
3080,alt z,0.797,0.537,9.0,-5.937,1.0,0.039,0.754,5.49e-05,0.107,0.754,115.069
3083,alt z,0.914,0.427,3.0,-7.766,0.0,0.0537,0.567,0.013,0.0774,0.635,120.01
3089,anime lo-fi,0.48,0.0419,1.0,-29.08,1.0,0.0356,0.981,0.905,0.365,0.107,85.008
3093,singer-songwriter pop,0.571,0.502,3.0,-7.159,0.0,0.137,0.247,2.49e-05,0.441,0.463,158.942
3095,pop,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05
3102,alt z,0.488,0.103,1.0,-12.009,1.0,0.0522,0.933,0.0,0.107,0.326,120.141
3103,lo-fi study,0.655,0.118,0.0,-16.045,0.0,0.041,0.87,0.924,0.11,0.0945,134.094
3106,filmi,0.68,0.973,8.0,-2.881,1.0,0.122,0.414,0.0,0.216,0.727,115.061
3107,filmi,0.681,0.917,8.0,-5.295,1.0,0.0573,0.343,0.0,0.663,0.772,116.03
3110,filmi,0.324,0.539,2.0,-8.076,1.0,0.038,0.713,3.15e-05,0.118,0.486,120.526
3111,filmi,0.634,0.54,0.0,-10.506,1.0,0.0297,0.491,5.53e-05,0.115,0.81,121.061
3112,filmi,0.575,0.306,11.0,-10.536,1.0,0.0476,0.885,0.0,0.109,0.338,82.011
3114,alt z,0.765,0.582,0.0,-4.528,1.0,0.12,0.245,8.21e-05,0.154,0.36,132.992
3115,alt z,0.673,0.7,3.0,-6.988,1.0,0.0958,0.193,0.0,0.208,0.511,127.01
3121,modern alternative rock,0.508,0.394,9.0,-9.472,0.0,0.0252,0.716,0.0,0.158,0.337,92.055
3125,singer-songwriter pop,0.659,0.24,1.0,-13.223,1.0,0.0427,0.705,0.0,0.288,0.264,129.81
3131,art pop,0.754,0.37,6.0,-9.854,0.0,0.12,0.403,6.22e-05,0.107,0.228,114.941
3137,pop,0.645,0.803,6.0,-4.819,1.0,0.034,0.0312,0.0,0.13,0.471,106.03
3139,filmi,0.676,0.624,1.0,-8.264,0.0,0.0575,0.387,4.84e-05,0.206,0.574,115.975
3141,edm,0.502,0.777,1.0,-4.627,1.0,0.0934,0.117,2.91e-06,0.0957,0.356,174.153
3142,alt z,0.656,0.645,5.0,-5.442,0.0,0.0397,0.504,0.0,0.18,0.669,75.473
3144,pop,0.71,0.789,4.0,-3.874,1.0,0.0722,0.0161,2.77e-06,0.451,0.717,142.929
3146,pop,0.734,0.498,1.0,-7.453,0.0,0.0318,0.229,5.59e-06,0.093,0.382,126.054
3150,pop,0.568,0.452,3.0,-7.258,1.0,0.117,0.552,0.0,0.18,0.213,73.701
3164,filmi,0.63,0.63,4.0,-7.525,1.0,0.0364,0.295,1.26e-05,0.0934,0.517,107.103
3166,filmi,0.454,0.41,11.0,-14.576,1.0,0.0686,0.762,0.0,0.485,0.841,100.179
3167,pop,0.701,0.507,8.0,-7.106,1.0,0.0353,0.14,0.0,0.108,0.146,82.009
3169,filmi,0.634,0.344,2.0,-11.011,1.0,0.0288,0.741,6.09e-05,0.111,0.409,128.0
3170,pop,0.664,0.855,1.0,-6.069,0.0,0.0633,0.00439,0.241,0.0959,0.754,143.993
3173,modern alternative rock,0.651,0.933,7.0,-3.978,0.0,0.0457,0.0203,0.0,0.306,0.798,134.048
3174,alt z,0.415,0.301,4.0,-13.874,1.0,0.0443,0.819,0.305,0.106,0.359,178.934
3175,chill pop,0.5,0.612,5.0,-7.099,1.0,0.0348,0.123,2.12e-05,0.195,0.428,94.974
3181,pop,0.602,0.405,2.0,-7.157,1.0,0.0319,0.903,0.0,0.133,0.321,137.743
3184,alt z,0.667,0.461,5.0,-8.452,1.0,0.0352,0.192,6.42e-05,0.0723,0.259,135.915
3185,singer-songwriter pop,0.586,0.516,1.0,-8.806,0.0,0.0386,0.191,0.0,0.489,0.38,109.928
3194,alt z,0.569,0.403,10.0,-8.618,1.0,0.0439,0.593,4.49e-06,0.102,0.269,119.819
3195,alt z,0.579,0.37,10.0,-8.9,1.0,0.0383,0.496,0.0,0.221,0.216,119.799
3197,chill pop,0.777,0.415,10.0,-8.746,1.0,0.033,0.608,0.0,0.309,0.609,129.917
3198,edm,0.646,0.741,5.0,-4.973,0.0,0.034,0.0275,0.0,0.312,0.571,123.077
3199,alt z,0.689,0.594,0.0,-7.645,1.0,0.0584,0.0301,0.0,0.102,0.653,137.112
3202,drift phonk,0.711,0.714,11.0,-9.179,1.0,0.0886,0.318,0.92,0.0909,0.259,134.345
3204,pop,0.407,0.697,11.0,-5.612,1.0,0.342,0.375,5.07e-06,0.125,0.632,179.681
3210,art pop,0.507,0.737,7.0,-6.332,1.0,0.0624,0.15,0.159,0.122,0.441,128.015
3214,pop,0.722,0.758,11.0,-4.477,0.0,0.0471,0.0111,0.0,0.308,0.62,128.047
3216,art pop,0.086,0.362,7.0,-8.932,0.0,0.0347,0.636,0.404,0.106,0.089,71.398
3220,filmi,0.614,0.469,5.0,-13.124,1.0,0.0338,0.4,3.93e-06,0.102,0.657,118.169
3221,filmi,0.537,0.507,7.0,-8.084,1.0,0.0342,0.61,0.0,0.289,0.316,130.16
3222,drift phonk,0.712,0.972,10.0,-0.514,1.0,0.112,0.00547,7.06e-05,0.128,0.568,119.966
3223,drift phonk,0.598,0.994,2.0,-0.89,1.0,0.404,0.00364,0.0617,0.397,0.151,151.135
3225,alt z,0.653,0.644,7.0,-6.204,1.0,0.0572,0.784,0.000202,0.161,0.363,88.968
3229,brostep,0.754,0.938,8.0,-5.874,1.0,0.0612,0.321,4.62e-05,0.0889,0.505,144.074
3234,pop,0.7,0.654,6.0,-7.126,0.0,0.297,0.27,0.0,0.0768,0.494,112.039
3235,filmi,0.842,0.93,9.0,-8.328,0.0,0.0949,0.209,1.42e-05,0.104,0.77,130.0
3238,dance pop,0.688,0.702,7.0,-4.792,0.0,0.0499,0.0215,0.0,0.128,0.74,94.006
3243,pop,0.691,0.474,10.0,-8.742,0.0,0.0583,0.569,0.000626,0.099,0.381,143.783
3250,dance pop,0.818,0.913,4.0,-3.06,0.0,0.0426,0.093,3.69e-05,0.161,0.536,119.986
3251,alternative metal,0.649,0.794,7.0,-8.597,1.0,0.0352,0.153,0.533,0.0724,0.253,104.7
3252,anime,0.533,0.948,8.0,-3.184,1.0,0.0484,0.00419,0.0,0.118,0.744,154.034
3256,alt z,0.725,0.67,11.0,-8.058,0.0,0.278,0.0183,0.00276,0.157,0.362,123.937
3260,pop,0.658,0.529,5.0,-6.807,1.0,0.111,0.15,0.0,0.129,0.59,102.18
3262,singer-songwriter pop,0.667,0.593,7.0,-6.016,0.0,0.0432,0.369,0.0,0.112,0.458,95.947
3268,filmi,0.455,0.733,11.0,-5.64,1.0,0.0683,0.304,0.0,0.158,0.696,94.903
3270,pop,0.525,0.61,6.0,-6.793,1.0,0.0404,0.084,0.0,0.0572,0.293,101.875
3271,alt z,0.813,0.755,1.0,-4.459,0.0,0.121,0.207,0.0,0.313,0.752,103.991
3274,filmi,0.459,0.721,6.0,-3.589,1.0,0.044,0.626,0.0,0.108,0.798,176.055
3275,alt z,0.58,0.485,3.0,-5.438,1.0,0.0312,0.696,0.0,0.0959,0.158,113.797
3277,anime lo-fi,0.726,0.419,0.0,-13.615,1.0,0.0586,0.323,0.89,0.107,0.73,74.996
3279,anime lo-fi,0.73,0.0127,10.0,-31.121,0.0,0.0625,0.994,0.967,0.127,0.3,115.093
3280,anime lo-fi,0.786,0.0261,10.0,-28.246,0.0,0.0793,0.993,0.952,0.11,0.287,114.954
3284,filmi,0.82,0.806,8.0,-5.722,0.0,0.0554,0.027,1.51e-05,0.429,0.595,119.995
3287,filmi,0.688,0.616,1.0,-7.602,0.0,0.0274,0.38,1.18e-06,0.364,0.68,106.995
3290,edm,0.581,0.76,0.0,-3.962,1.0,0.0406,0.16,0.0,0.183,0.523,104.099
3291,dance pop,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041
3296,modern alternative rock,0.589,0.614,0.0,-7.528,0.0,0.0426,0.0213,0.165,0.31,0.318,119.837
3301,pop,0.471,0.22,5.0,-9.243,1.0,0.037,0.691,0.0,0.104,0.26,133.714
3306,pop,0.715,0.742,0.0,-4.331,1.0,0.0347,0.052,2.47e-05,0.364,0.322,106.971
3323,edm,0.494,0.651,11.0,-4.127,0.0,0.0384,0.0819,0.0,0.104,0.162,149.979
3326,alt z,0.471,0.744,0.0,-5.8,1.0,0.0523,0.00352,0.0,0.687,0.219,95.004
3327,filmi,0.746,0.56,3.0,-9.417,1.0,0.0451,0.176,2.55e-06,0.109,0.784,102.015
3338,dance pop,0.674,0.915,6.0,-3.999,0.0,0.0411,0.0282,0.00337,0.273,0.78,126.038
3339,alt z,0.626,0.635,7.0,-7.845,0.0,0.163,0.0346,0.0,0.0953,0.581,149.824
3341,pop,0.7,0.748,1.0,-6.044,1.0,0.0434,0.127,0.0,0.0941,0.631,111.939
3343,edm,0.739,0.619,10.0,-6.669,1.0,0.162,0.0572,0.0,0.105,0.58,112.961
3354,alternative metal,0.502,0.831,2.0,-3.723,1.0,0.295,0.105,1.3e-06,0.174,0.451,199.972
3355,pop,0.594,0.977,10.0,-4.193,0.0,0.0647,0.0597,3.49e-06,0.309,0.793,131.98
3357,modern alternative rock,0.625,0.85,6.0,-3.776,0.0,0.0294,0.0164,0.339,0.105,0.736,108.997
3358,alt z,0.749,0.419,5.0,-9.41,1.0,0.0719,0.528,7.85e-06,0.113,0.279,120.166
3359,alt z,0.68,0.413,5.0,-9.644,1.0,0.0464,0.776,1.91e-05,0.0979,0.276,114.931
3361,drift phonk,0.716,0.942,1.0,-6.116,1.0,0.0565,0.000136,0.836,0.0663,0.899,167.371
3363,singer-songwriter pop,0.853,0.314,5.0,-12.418,0.0,0.065,0.646,0.000211,0.107,0.679,123.974
3366,edm,0.679,0.866,2.0,-3.754,1.0,0.0566,0.0337,0.0,0.0688,0.441,121.927
